country,names,region_indexes,colour,order,disputed
Cabo Verde,"['Republic of Cabo Verde', 'Cabo Verde']",[201],C4,171,False
Canada,['Canada'],[202],C2,2,False
Cameroon,['Cameroon'],[203],C1,62,False
Cambodia,['Cambodia'],[204],C5,92,False
Myanmar,['Myanmar'],[205],C4,46,False
Burundi,['Burundi'],[206],C3,147,False
Burkina Faso,['Burkina Faso'],[207],C2,78,False
Bulgaria,['Bulgaria'],[208],C1,98,False
Brunei,"['Brunei Darussalam', 'Brunei']",[209],C5,167,False
Brazil,['Brazil'],[210],C4,5,False
Botswana,['Botswana'],[211],C3,51,False
Bosnia and Herzegovina,"['Bosnia and Herz.', 'Bosnia and Herzegovina']",[212],C2,128,False
Bolivia,['Bolivia'],[213],C1,28,False
Bhutan,['Bhutan'],[214],C5,137,False
Benin,['Benin'],[215],C4,108,False
Belize,['Belize'],[216],C3,151,False
Belgium,['Belgium'],[217],C2,136,False
Belarus,['Belarus'],[218],C1,70,False
Barbados,['Barbados'],[219],C5,186,False
Bangladesh,['Bangladesh'],[220],C4,99,False
Bahrain,['Bahrain'],[221],C3,179,False
The Bahamas,"['The Bahamas', 'Bahamas']",[222],C2,160,False
Azerbaijan,['Azerbaijan'],[223],C2,115,False
Austria,['Austria'],[224],C1,104,False
Australia,['Australia'],[225],C5,6,False
Armenia,['Armenia'],[230],C4,139,False
Argentina,['Argentina'],[231],C3,9,False
Antigua and Barbuda,"['Antigua and Barbuda', 'Antigua and Barb.']",[232],C2,185,False
Angola,['Angola'],[233],C5,24,False
Andorra,['Andorra'],[234],C4,180,False
Algeria,['Algeria'],[235],C3,11,False
Albania,['Albania'],[236],C2,140,False
Afghanistan,['Afghanistan'],[237],C1,44,False
Kashmir,"['Siachen Glacier', 'Kashmir']",[238],C2,173,True
Tuvalu,['Tuvalu'],[241],C4,199,False
